Site	Lat	Lon	Point	Height	Albedo
USCAAG	34.467	-120.277	0.25	0.313	0.4
USCAAG	34.467	-120.277	0.5	0.625	0.4
USCAAG	34.467	-120.277	0.75	0.938	0.4
USCAAG	34.467	-120.277	1	1.25	0.4
USCABD	38.319	-123.074	0.25	0.465	0.1
USCABD	38.319	-123.074	0.5	0.93	0.1
USCABD	38.319	-123.074	0.75	1.395	0.1
USCABD	38.319	-123.074	1	1.86	0.1
USCACA	35.54	-121.093	0.25	0.363	0.1
USCACA	35.54	-121.093	0.5	0.725	0.1
USCACA	35.54	-121.093	0.75	1.088	0.1
USCACA	35.54	-121.093	1	1.45	0.1
USCACM	40.348	-124.365	0.25	0.443	0.1
USCACM	40.348	-124.365	0.5	0.885	0.1
USCACM	40.348	-124.365	0.75	1.328	0.1
USCACM	40.348	-124.365	1	1.77	0.1
USCAFR	34.063	-119.919	0.25	0.273	0.1
USCAFR	34.063	-119.919	0.5	0.545	0.1
USCAFR	34.063	-119.919	0.75	0.818	0.1
USCAFR	34.063	-119.919	1	1.09	0.1
USCAHS	36.622	-121.905	0.25	0.435	0.1
USCAHS	36.622	-121.905	0.5	0.87	0.1
USCAHS	36.622	-121.905	0.75	1.305	0.1
USCAHS	36.622	-121.905	1	1.74	0.1
USCAJA	34.495	-120.497	0.25	0.36	0.4
USCAJA	34.495	-120.497	0.5	0.72	0.4
USCAJA	34.495	-120.497	0.75	1.08	0.4
USCAJA	34.495	-120.497	1	1.44	0.4
USCAPR	34.02	-119.687	0.25	0.335	0.1
USCAPR	34.02	-119.687	0.5	0.67	0.1
USCAPR	34.02	-119.687	0.75	1.005	0.1
USCAPR	34.02	-119.687	1	1.34	0.1
USCATP	36.948	-122.065	0.25	0.423	0.1
USCATP	36.948	-122.065	0.5	0.845	0.1
USCATP	36.948	-122.065	0.75	1.268	0.1
USCATP	36.948	-122.065	1	1.69	0.1
USCATR	41.062	-124.149	0.25	0.505	0.1
USCATR	41.062	-124.149	0.5	1.01	0.1
USCATR	41.062	-124.149	0.75	1.515	0.1
USCATR	41.062	-124.149	1	2.02	0.1
USCAWL	33.962	-119.755	0.25	0.34	0.1
USCAWL	33.962	-119.755	0.5	0.68	0.1
USCAWL	33.962	-119.755	0.75	1.02	0.1
USCAWL	33.962	-119.755	1	1.36	0.1
USORBB	44.831	-124.06	0.25	0.47	0.1
USORBB	44.831	-124.06	0.5	0.94	0.1
USORBB	44.831	-124.06	0.75	1.41	0.1
USORBB	44.831	-124.06	1	1.88	0.1
USORCA	43.307	-124.402	0.25	0.455	0.1
USORCA	43.307	-124.402	0.5	0.91	0.1
USORCA	43.307	-124.402	0.75	1.365	0.1
USORCA	43.307	-124.402	1	1.82	0.1
USORSH	44.25	-124.114	0.25	0.505	0.1
USORSH	44.25	-124.114	0.5	1.01	0.1
USORSH	44.25	-124.114	0.75	1.515	0.1
USORSH	44.25	-124.114	1	2.02	0.1
USWATT	48.391	-124.738	0.25	0.505	0.1
USWATT	48.391	-124.738	0.5	1.01	0.1
USWATT	48.391	-124.738	0.75	1.515	0.1
USWATT	48.391	-124.738	1	2.39	0.1
