Unix	Date	Time	Temp
1009813904	2001-12-31	15:51	11.9
1009814264	2001-12-31	15:57	11.9
1009814624	2001-12-31	16:03	11.9
1009814984	2001-12-31	16:09	11.9
1009815344	2001-12-31	16:15	12
1009815704	2001-12-31	16:21	12
1009816064	2001-12-31	16:27	12
1009816424	2001-12-31	16:33	12
1009816784	2001-12-31	16:39	12
1009817144	2001-12-31	16:45	12
1009817504	2001-12-31	16:51	12
1009817864	2001-12-31	16:57	12
1009818224	2001-12-31	17:03	12
1009818584	2001-12-31	17:09	12
1009818944	2001-12-31	17:15	12
1009819304	2001-12-31	17:21	12
1009819664	2001-12-31	17:27	12
1009820024	2001-12-31	17:33	12
1009820384	2001-12-31	17:39	12
1009820744	2001-12-31	17:45	12
1009821104	2001-12-31	17:51	12
1009821464	2001-12-31	17:57	12
1009821824	2001-12-31	18:03	12
1009822184	2001-12-31	18:09	12
1009822544	2001-12-31	18:15	12
1009822904	2001-12-31	18:21	12
1009823264	2001-12-31	18:27	12
1009823624	2001-12-31	18:33	12
1009823984	2001-12-31	18:39	12.1
1009824344	2001-12-31	18:45	12.1
1009824704	2001-12-31	18:51	12.1
1009825064	2001-12-31	18:57	12.1
1009825424	2001-12-31	19:03	12.1
1009825784	2001-12-31	19:09	12.1
1009826144	2001-12-31	19:15	12.1
1009826504	2001-12-31	19:21	12
1009826864	2001-12-31	19:27	12
1009827224	2001-12-31	19:33	12
1009827584	2001-12-31	19:39	12
1009827944	2001-12-31	19:45	12
1009828304	2001-12-31	19:51	12
1009828664	2001-12-31	19:57	12
1009829024	2001-12-31	20:03	12
1009829384	2001-12-31	20:09	12
1009829744	2001-12-31	20:15	12
1009830104	2001-12-31	20:21	12
1009830464	2001-12-31	20:27	12
1009830824	2001-12-31	20:33	12
1009831184	2001-12-31	20:39	12
1009831544	2001-12-31	20:45	12
1009831904	2001-12-31	20:51	12
1009832264	2001-12-31	20:57	12
1009832624	2001-12-31	21:03	12
1009832984	2001-12-31	21:09	12
1009833344	2001-12-31	21:15	12
1009833704	2001-12-31	21:21	12
1009834064	2001-12-31	21:27	12
1009834424	2001-12-31	21:33	12
1009834784	2001-12-31	21:39	12
1009835144	2001-12-31	21:45	12
1009835504	2001-12-31	21:51	12
1009835864	2001-12-31	21:57	12
1009836224	2001-12-31	22:03	12
1009836584	2001-12-31	22:09	12
1009836944	2001-12-31	22:15	12
1009837304	2001-12-31	22:21	12
1009837664	2001-12-31	22:27	12
1009838024	2001-12-31	22:33	12
1009838384	2001-12-31	22:39	12
1009838744	2001-12-31	22:45	12
1009839104	2001-12-31	22:51	12
1009839464	2001-12-31	22:57	12
1009839824	2001-12-31	23:03	12
1009840184	2001-12-31	23:09	12
1009840544	2001-12-31	23:15	12
1009840904	2001-12-31	23:21	12
1009841264	2001-12-31	23:27	12
1009841624	2001-12-31	23:33	12
1009841984	2001-12-31	23:39	12
1009842344	2001-12-31	23:45	12
1009842704	2001-12-31	23:51	12
1009843064	2001-12-31	23:57	12
1009843424	2002-01-01	00:03	12
1009843784	2002-01-01	00:09	12
1009844144	2002-01-01	00:15	12
1009844504	2002-01-01	00:21	12
1009844864	2002-01-01	00:27	12
1009845224	2002-01-01	00:33	12
1009845584	2002-01-01	00:39	12
1009845944	2002-01-01	00:45	12
1009846304	2002-01-01	00:51	12
1009846664	2002-01-01	00:57	12
1009847024	2002-01-01	01:03	12
1009847384	2002-01-01	01:09	12
1009847744	2002-01-01	01:15	12
1009848104	2002-01-01	01:21	12
1009848464	2002-01-01	01:27	12
1009848824	2002-01-01	01:33	12
1009849184	2002-01-01	01:39	12
1009849544	2002-01-01	01:45	12
1009849904	2002-01-01	01:51	12
1009850264	2002-01-01	01:57	12
1009850624	2002-01-01	02:03	12
1009850984	2002-01-01	02:09	12
1009851344	2002-01-01	02:15	12
1009851704	2002-01-01	02:21	12
1009852064	2002-01-01	02:27	12
1009852424	2002-01-01	02:33	12
1009852784	2002-01-01	02:39	12
1009853144	2002-01-01	02:45	12
1009853504	2002-01-01	02:51	12
1009853864	2002-01-01	02:57	12
1009854224	2002-01-01	03:03	12
1009854584	2002-01-01	03:09	12
1009854944	2002-01-01	03:15	12
1009855304	2002-01-01	03:21	12
1009855664	2002-01-01	03:27	12
1009856024	2002-01-01	03:33	12
1009856384	2002-01-01	03:39	12
1009856744	2002-01-01	03:45	12
1009857104	2002-01-01	03:51	12
1009857464	2002-01-01	03:57	12
1009857824	2002-01-01	04:03	12
1009858184	2002-01-01	04:09	12
1009858544	2002-01-01	04:15	12
1009858904	2002-01-01	04:21	12
1009859264	2002-01-01	04:27	12
1009859624	2002-01-01	04:33	12
1009859984	2002-01-01	04:39	12
1009860344	2002-01-01	04:45	12
1009860704	2002-01-01	04:51	12
1009861064	2002-01-01	04:57	12
1009861424	2002-01-01	05:03	12
1009861784	2002-01-01	05:09	12
1009862144	2002-01-01	05:15	12
1009862504	2002-01-01	05:21	12
1009862864	2002-01-01	05:27	12
1009863224	2002-01-01	05:33	12
1009863584	2002-01-01	05:39	12
1009863944	2002-01-01	05:45	12
1009864304	2002-01-01	05:51	12
1009864664	2002-01-01	05:57	12
1009865024	2002-01-01	06:03	12
1009865384	2002-01-01	06:09	12
1009865744	2002-01-01	06:15	12
1009866104	2002-01-01	06:21	12
1009866464	2002-01-01	06:27	12
1009866824	2002-01-01	06:33	12
1009867184	2002-01-01	06:39	12
1009867544	2002-01-01	06:45	12
1009867904	2002-01-01	06:51	12
1009868264	2002-01-01	06:57	12
1009868624	2002-01-01	07:03	12
1009868984	2002-01-01	07:09	12
1009869344	2002-01-01	07:15	12
1009869704	2002-01-01	07:21	12
1009870064	2002-01-01	07:27	12
1009870424	2002-01-01	07:33	12
1009870784	2002-01-01	07:39	12
1009871144	2002-01-01	07:45	12
1009871504	2002-01-01	07:51	12
1009871864	2002-01-01	07:57	12
1009872224	2002-01-01	08:03	12
1009872584	2002-01-01	08:09	12
1009872944	2002-01-01	08:15	12
1009873304	2002-01-01	08:21	12
1009873664	2002-01-01	08:27	12
1009874024	2002-01-01	08:33	12
1009874384	2002-01-01	08:39	12
1009874744	2002-01-01	08:45	12
1009875104	2002-01-01	08:51	12
1009875464	2002-01-01	08:57	12
1009875824	2002-01-01	09:03	12
1009876184	2002-01-01	09:09	12
1009876544	2002-01-01	09:15	12
1009876904	2002-01-01	09:21	12
1009877264	2002-01-01	09:27	12
1009877624	2002-01-01	09:33	12
1009877984	2002-01-01	09:39	12
1009878344	2002-01-01	09:45	12
1009878704	2002-01-01	09:51	12
1009879064	2002-01-01	09:57	12
1009879424	2002-01-01	10:03	12
1009879784	2002-01-01	10:09	12
1009880144	2002-01-01	10:15	12
1009880504	2002-01-01	10:21	12
1009880864	2002-01-01	10:27	12
1009881224	2002-01-01	10:33	12
1009881584	2002-01-01	10:39	12
1009881944	2002-01-01	10:45	12
1009882304	2002-01-01	10:51	12
1009882664	2002-01-01	10:57	12
1009883024	2002-01-01	11:03	12
1009883384	2002-01-01	11:09	12
1009883744	2002-01-01	11:15	12
1009884104	2002-01-01	11:21	12
1009884464	2002-01-01	11:27	12
1009884824	2002-01-01	11:33	12
1009885184	2002-01-01	11:39	12
1009885544	2002-01-01	11:45	12
1009885904	2002-01-01	11:51	12
1009886264	2002-01-01	11:57	12
1009886624	2002-01-01	12:03	12
1009886984	2002-01-01	12:09	12
1009887344	2002-01-01	12:15	12
1009887704	2002-01-01	12:21	12
1009888064	2002-01-01	12:27	12
1009888424	2002-01-01	12:33	12
1009888784	2002-01-01	12:39	12
1009889144	2002-01-01	12:45	12
1009889504	2002-01-01	12:51	12
1009889864	2002-01-01	12:57	12
1009890224	2002-01-01	13:03	12
1009890584	2002-01-01	13:09	12
1009890944	2002-01-01	13:15	12
1009891304	2002-01-01	13:21	12
1009891664	2002-01-01	13:27	12
1009892024	2002-01-01	13:33	12
1009892384	2002-01-01	13:39	12
1009892744	2002-01-01	13:45	12
1009893104	2002-01-01	13:51	12
1009893464	2002-01-01	13:57	12
1009893824	2002-01-01	14:03	12
1009894184	2002-01-01	14:09	12
1009894544	2002-01-01	14:15	12
1009894904	2002-01-01	14:21	12
1009895264	2002-01-01	14:27	12
1009895624	2002-01-01	14:33	12
1009895984	2002-01-01	14:39	12
1009896344	2002-01-01	14:45	12
1009896704	2002-01-01	14:51	12
1009897064	2002-01-01	14:57	12
1009897424	2002-01-01	15:03	12
1009897784	2002-01-01	15:09	12
1009898144	2002-01-01	15:15	12
1009898504	2002-01-01	15:21	12
1009898864	2002-01-01	15:27	12
1009899224	2002-01-01	15:33	12
1009899584	2002-01-01	15:39	12
1009899944	2002-01-01	15:45	12
1009900304	2002-01-01	15:51	12
1009900664	2002-01-01	15:57	12
1009901024	2002-01-01	16:03	12
1009901384	2002-01-01	16:09	12
1009901744	2002-01-01	16:15	12
1009902104	2002-01-01	16:21	12
1009902464	2002-01-01	16:27	12
1009902824	2002-01-01	16:33	12
1009903184	2002-01-01	16:39	12
1009903544	2002-01-01	16:45	12
1009903904	2002-01-01	16:51	12
1009904264	2002-01-01	16:57	12
1009904624	2002-01-01	17:03	12.1
1009904984	2002-01-01	17:09	12.1
1009905344	2002-01-01	17:15	12.1
1009905704	2002-01-01	17:21	12.2
1009906064	2002-01-01	17:27	12.2
1009906424	2002-01-01	17:33	12.2
1009906784	2002-01-01	17:39	12.2
1009907144	2002-01-01	17:45	12.2
1009907504	2002-01-01	17:51	12.2
1009907864	2002-01-01	17:57	12.2
1009908224	2002-01-01	18:03	12.2
1009908584	2002-01-01	18:09	12.2
1009908944	2002-01-01	18:15	12.2
1009909304	2002-01-01	18:21	12.2
1009909664	2002-01-01	18:27	12.2
1009910024	2002-01-01	18:33	12.2
1009910384	2002-01-01	18:39	12.2
1009910744	2002-01-01	18:45	12.2
1009911104	2002-01-01	18:51	12.4
1009911464	2002-01-01	18:57	12.5
1009911824	2002-01-01	19:03	12.6
1009912184	2002-01-01	19:09	12.6
1009912544	2002-01-01	19:15	12.7
1009912904	2002-01-01	19:21	12.4
1009913264	2002-01-01	19:27	12.2
1009913624	2002-01-01	19:33	12.1
1009913984	2002-01-01	19:39	12.1
1009914344	2002-01-01	19:45	12
1009914704	2002-01-01	19:51	12
1009915064	2002-01-01	19:57	12
1009915424	2002-01-01	20:03	12
1009915784	2002-01-01	20:09	12
1009916144	2002-01-01	20:15	12
1009916504	2002-01-01	20:21	12
1009916864	2002-01-01	20:27	12
1009917224	2002-01-01	20:33	12
1009917584	2002-01-01	20:39	12
1009917944	2002-01-01	20:45	12
1009918304	2002-01-01	20:51	12
1009918664	2002-01-01	20:57	12
1009919024	2002-01-01	21:03	12
1009919384	2002-01-01	21:09	12
1009919744	2002-01-01	21:15	12
1009920104	2002-01-01	21:21	12
1009920464	2002-01-01	21:27	12
1009920824	2002-01-01	21:33	12
1009921184	2002-01-01	21:39	12
1009921544	2002-01-01	21:45	12
1009921904	2002-01-01	21:51	12
1009922264	2002-01-01	21:57	12
1009922624	2002-01-01	22:03	12
1009922984	2002-01-01	22:09	12
1009923344	2002-01-01	22:15	12
1009923704	2002-01-01	22:21	12
